Suburb,Population
CORRYONG,1352
CORUNNUN,119
COSGROVE,50
COSGROVE SOUTH,53
COSTERFIELD,70
COTSWOLD,20
COTTLES BRIDGE,609
COWA,0
COWANGIE,33
COWES,6593
COWLEYS CREEK,34
COWWARR,389
CRAIGIE,62
CRAIGIEBURN,65178
CRANBOURNE,21281
CRANBOURNE EAST,24679
CRANBOURNE NORTH,24683
CRANBOURNE SOUTH,3241
CRANBOURNE WEST,19969
CREEK JUNCTION,34
CREEK VIEW,39
CREIGHTONS CREEK,162
CREMORNE,2158
CRESSY,176
CRESWICK,3279
CRESWICK NORTH,55
CRIB POINT,3343
CROOKAYAN,0
CROOKED RIVER,5
CROSS ROADS,27
CROSSLEY,235
CROSSOVER,161
CROWLANDS,72
CROXTON EAST,70
CROYDON,28608
CROYDON HILLS,4839
CROYDON NORTH,8092
CROYDON SOUTH,4759
CRYMELON,15
CUDGEE,311
CUDGEWA,254
CULGOA,86
CULLA,31
CULLEN,36
CULLULLERAINE,81
CUNDARE,15
CUNDARE NORTH,10
CURDIES RIVER,25
CURDIEVALE,125
CURLEWIS,4175
CURYO,20
DADSWELLS BRIDGE,69
DAISY HILL,398
DALES CREEK,403
DALLAS,6762
DALMORE,142
DALTONS BRIDGE,57
DALYENONG,0
DALYSTON,843
DANDENONG,30127
DANDENONG NORTH,22550
DANDENONG SOUTH,125
DANDONGADALE,8
DARGO,105
DARLEY,9190
DARLIMURLA,46
DARLINGTON,84
DARNUM,759
DARRAWEIT GUIM,402
DARRIMAN,12
DARTMOOR,299
DARTMOUTH,130
DAWSON,40
DAYLESFORD,2781
DEAN,132
DEANS MARSH,368
DEANSIDE,654
DEDDICK VALLEY,12
DEDERANG,198
DEEP LEAD,210
DEEPDENE,2101
DEER PARK,18145
DELACOMBE,5408
DELAHEY,8077
DELATITE,13
DELBURN,37
DELEGATE RIVER,41
DENICULL CREEK,19
DENISON,453
DENNINGTON,1994
DENVER,148
DEPTFORD,0
DERBY,18
DEREEL,664
DERGHOLM,57
DERRIMUT,8651
DERRINAL,99
DERRINALLUM,386
DEVENISH,208
DEVILS RIVER,14
DEVON MEADOWS,1551
DEVON NORTH,352
DEWHURST,151
DHURRINGILE,369
DIAMOND CREEK,12503
DIGBY,122
DIGGERS REST,5669
DIGGORA,78
DIMBOOLA,1635
DINGEE,195
DINGLEY VILLAGE,10495
DINGWALL,99
DINNER PLAIN,128
DIXIE,148
DIXONS CREEK,344
DOBIE,33
DOCKER,106
DOCKERS PLAINS,59
DOCKLANDS,15495
DOCTORS FLAT,13
DOLLAR,61
DON VALLEY,586
DONALD,1472
DONCASTER,25020
DONCASTER EAST,30926
DONNYBROOK,2100
DONVALE,12644
DOOBOOBETIC,13
DOOEN,250
DOOKIE,333
DOOKIE COLLEGE,51
DOREEN,27122
DORODONG,21
DOUBLE BRIDGES,0
DOUGLAS,74
DOVETON,9603
DREEITE,77
DREEITE SOUTH,28
DRIFFIELD,101
DRIK DRIK,46
DROMANA,6626
DROPMORE,19
DROUIN,15287
DROUIN EAST,177
DROUIN SOUTH,343
DROUIN WEST,361
DRUMANURE,41
DRUMBORG,160
DRUMCONDRA,571
DRUMMARTIN,42
DRUMMOND,294
DRUMMOND NORTH,203
DRUNG,119
DRY DIGGINGS,41
DRYSDALE,4976
DUCHEMBEGARRA,47
DUMBALK,455
DUMBALK NORTH,90
DUMOSA,18
DUNACH,83
DUNDONNELL,52
DUNKELD,688
DUNLUCE,36
DUNNEWORTHY,15
DUNNSTOWN,259
DUNOLLY,899
DUNROBIN,70
DURDIDWARRAH,12
DURHAM LEAD,408
DURHAM OX,60
DUTSON,32
DUTSON DOWNS,0
DUTTON WAY,91
DUVERNEY,23
EAGLE POINT,1306
EAGLEHAWK,5538
EAGLEHAWK NORTH,13
EAGLEMONT,3960
EARLSTON,82
EAST BAIRNSDALE,1352
EAST BENDIGO,2246
EAST GEELONG,4012
EAST MELBOURNE,4896
EAST SALE,210
EAST WANGARATTA,66
EAST WARBURTON,906
EASTERN VIEW,47
EASTVILLE,13
EASTWOOD,2855
EBDEN,110
ECHUCA,15056
ECHUCA VILLAGE,577
ECHUCA WEST,442
ECKLIN SOUTH,222
EDDINGTON,113
EDEN PARK,1194
EDENHOPE,937
EDGECOMBE,103
EDI,60
EDI UPPER,109
EDITHVALE,6276
EGANSTOWN,206
EILDON,944
ELAINE,232
ELDORADO,382
ELEVATED PLAINS,39
ELINGAMITE,57
ELINGAMITE NORTH,118
ELIZABETH ISLAND,0
ELLASWOOD,206
ELLERSLIE,157
ELLIMINYT,3260
ELLINBANK,229
ELMHURST,185
ELMORE,847
ELPHINSTONE,633
ELSTERNWICK,10887
ELTHAM,18847
ELTHAM NORTH,6830
ELWOOD,15153
EMERALD,5890
EMU,37
EMU CREEK,376
ENDEAVOUR HILLS,24455
ENFIELD,574
ENGLEFIELD,23
ENOCHS POINT,3
ENSAY,155
ENSAY NORTH,29
EPPALOCK,746
EPPING,33489
EPSOM,5014
ERCILDOUNE,90
ERICA,184
ERRINUNDRA,0
ESKDALE,238
ESMOND,17
ESSENDON,21240
ESSENDON FIELDS,13
ESSENDON NORTH,3071
ESSENDON WEST,1559
EUMEMMERRING,2285
EURACK,43
EUREKA,633
EUROA,3508
EUROBIN,239
EVANSFORD,147
EVERSLEY,14
EVERTON,193
EVERTON UPPER,154
EXFORD,133
EYNESBURY,2838
FAIRBANK,52
FAIRFIELD,6535
FAIRHAVEN,390
FAIRLEY,14
FAIRY DELL (CAMPASPE - VIC.),93
FAIRY DELL (EAST GIPPSLAND - VIC.),0
FALLS CREEK,326
FARADAY,194
FAWCETT,82
FAWKNER,14274
FENTONS CREEK,27
FERGUSON,13
FERN HILL,125
FERNBANK,194
FERNDALE,48
FERNIHURST,32
FERNSHAW,0
FERNTREE GULLY,27398
FERNY CREEK,1524
FIERY FLAT,28
FINGAL,637
FISH CREEK,858
FISH POINT,11
FISKVILLE,18
FITZROY,10431
FITZROY NORTH,12781
FLAGGY CREEK,104
FLAGSTAFF,97
FLAMINGO BEACH,0
FLEMINGTON,7025
FLINDERS,1130
FLORA HILL,3989
FLOWERDALE,790
FLYNN,188
FLYNNS CREEK,12
FOOTSCRAY,17131
FORBES,158
FOREST HILL,10780
FORGE CREEK,346
FORREST,257
FOSTER,2044
FOSTER NORTH,152
FOSTERVILLE,57
FOXHOW,31
FRAMLINGHAM,169
FRAMLINGHAM EAST,25
FRANKLINFORD,71
FRANKSTON,37331
FRANKSTON NORTH,5711
FRANKSTON SOUTH,18801
FRASER RISE,9097
FREEBURGH,136
FRENCH ISLAND,141
FRENCHMANS,7
FRESHWATER CREEK,454
FRYERSTOWN,232
FULHAM,994
FUMINA,11
FUMINA SOUTH,65
FYANS CREEK,47
FYANSFORD,1206
GAFFNEYS CREEK,3
GAINSBOROUGH,61
GANNAWARRA,110
GAPSTED,156
GARDENVALE,1019
GARFIELD,2114
GARFIELD NORTH,236
GARIBALDI,131
GARVOC,248
GATEWAY ISLAND,0
GATUM,35
GAZETTE,42
GEELONG,5811
GEELONG WEST,7345
GELANTIPY,23
GELLIBRAND,230
GELLIBRAND LOWER,19
GELLIONDALE,43
GEMBROOK,2559
GENOA,66
GENTLE ANNIE,0
GEORGES CREEK,75
GERAHMIN,11
GERANG GERUNG,65
GERANGAMETE,112
GERMANIA,17
GERMANTOWN,0
GERRIGERRUP,31
GHERANG,391
GHERINGHAP,132
GHIN GHIN,64
GIFFARD,73
GIFFARD WEST,72
GIL GIL,23
GILDEROY,62
GILLIESTON,45
GILLUM,0
GIPSY POINT,31
GIRGARRE,563
GIRGARRE EAST,143
GISBORNE,10142
GISBORNE SOUTH,854
GLADFIELD,32
GLADSTONE PARK,8213
GLADYSDALE,423
GLEN ALVIE,182
GLEN CREEK,59
GLEN FORBES,118
GLEN HUNTLY,4905
GLEN IRIS,26131
GLEN PARK,110
GLEN VALLEY,23
GLEN WAVERLEY,42642
GLEN WILLS,4
GLENAIRE,33
GLENALADALE,48
GLENALBYN,21
GLENAROUA,208
GLENBRAE,30
GLENBURN,443
GLENDARUEL,49
GLENDONALD,12
GLENFALLOCH,0
GLENFYNE,131
GLENGARRY,1113
GLENGARRY NORTH,215
GLENGARRY WEST,155
GLENGOWER,15
GLENHOPE,66
GLENHOPE EAST,17
GLENISLA,23
GLENLEE,71
GLENLOFTY,11
GLENLOGIE,29
GLENLOTH,7
GLENLOTH EAST,14
GLENLUCE,17
GLENLYON,431
GLENMAGGIE,279
